Time,BasePrice,USDPrice,24Hr USD Volume
2017-11-16 03:00:48.927076,0.0456807,330.001488063,34239316.4563286
2017-11-16 03:01:49.370132,0.04568074,330.0017770266,34275268.91618389
2017-11-16 03:02:49.802790,0.04568074,330.0017770266,34204893.71017297
2017-11-16 03:03:50.072026,0.04568074,330.0017770266,34204893.71017297
2017-11-16 03:04:50.344099,0.04560483,329.41052781449997,34187354.07579515
2017-11-16 03:05:50.740908,0.04565,329.7367975,34190738.08574333
2017-11-16 03:06:51.055956,0.04565,329.7367975,34184433.537099786
2017-11-16 03:07:51.291113,0.04560498,329.411611287,34165366.14374883
2017-11-16 03:08:51.589695,0.04559601,329.34681963149995,34185743.21323229
2017-11-16 03:09:51.839370,0.0455761,329.16289974700004,34168222.124369
2017-11-16 03:10:52.089634,0.045565,329.08273255,34149857.819166206
2017-11-16 03:11:52.494214,0.04555457,329.0074042739,34144033.95014488
2017-11-16 03:12:52.818492,0.0455524,328.991731948,34137936.887494065
2017-11-16 03:13:53.020962,0.04555877,329.0377378079,34131668.80914526
2017-11-16 03:14:53.508278,0.0455001,328.553492094,34103170.11764082
2017-11-16 03:15:53.796899,0.0455001,328.553492094,34053795.86837008
2017-11-16 03:16:54.224546,0.04550009,328.5534198846,34057979.02491147
2017-11-16 03:17:54.504380,0.0455,328.55276999999995,34070247.70517873
2017-11-16 03:18:54.774388,0.0455,328.55276999999995,34067268.50462867
2017-11-16 03:19:55.026176,0.04558,329.12451980000003,34055661.36528166
2017-11-16 03:20:55.460980,0.04558,329.12451980000003,34036929.33992388
2017-11-16 03:21:55.702256,0.04556,328.98010360000006,33989506.15901553
2017-11-16 03:22:55.948031,0.0455,328.546855,34038385.579667315
2017-11-16 03:23:56.373994,0.0455,328.546855,34025751.62547443
2017-11-16 03:24:56.698850,0.04548,328.3656,34012259.8202938
2017-11-16 03:25:56.988174,0.04545455,328.18185100000005,34009725.8242582
2017-11-16 03:26:57.262949,0.04545278,328.1690716,34009751.1260262
2017-11-16 03:27:57.550476,0.04545662,328.19679640000004,34002267.2727146
2017-11-16 03:28:57.811627,0.04545662,328.19679640000004,34064001.631675206
2017-11-16 03:29:58.100093,0.04549999,328.3879878268,34054332.71978403
2017-11-16 03:30:58.405913,0.0455,328.38806,34049883.868467405
2017-11-16 03:31:58.830492,0.04545664,328.0751170048,34048806.94804436
2017-11-16 03:32:59.068722,0.04546,328.0993672,34038762.12586943
2017-11-16 03:33:59.437676,0.04546,328.0993672,33999623.858787425
2017-11-16 03:34:59.723852,0.04546,328.5912444,34048480.05131551
2017-11-16 03:36:00.014585,0.04546,328.5912444,34120450.22256936
2017-11-16 03:37:00.470623,0.04546,328.5912444,34115780.17082812
2017-11-16 03:38:00.679713,0.04557888,329.45052568320006,34187999.17434326
2017-11-16 03:39:01.101877,0.04542002,328.3022633628,34195746.723929934
2017-11-16 03:40:01.532281,0.04557888,329.22764496,34190145.96251352
2017-11-16 03:41:01.804012,0.04556999,329.16343026749996,34185698.928923145
